tabla,unit_id,close_ts,sha256_journal_at_close
medicion,TASK-0250,2026-07-04T17:11:57Z,641050da5a3cf9c887b77144378bd519f356abc3ca889a2f30f0ad93e576a03f
medicion,TASK-0251,2026-07-04T17:12:23Z,ba23ebcaca3e6907cb31be30bf6b1a2f460d00a2abb126e95a22753d47cc5879
medicion,TASK-0253,2026-07-05T18:45:07Z,1d4da86250f353b8d1987f9134abf366b5cd8f3b525fe6d5400b0bb1d3ec9e96
medicion,TASK-0254,2026-07-05T20:28:08Z,71441bb5bbccdcc1a0a7f0dde9bb7530adc3f12603d5e30b53705beba77fb042
medicion,TASK-0255,2026-07-05T22:15:30Z,16613480272325e9e24167ccc1a689f77daf092f370371dba0db469182da550a
